Entity,Code,Year,Electricity,Population Density ,GDP ,Temperature 
Malaysia,MYS,1970,4294.6675,10306508,76983.205,25.68
Malaysia,MYS,1971,4685.3276,10552557,83746.673,25.53
Malaysia,MYS,1972,5098.503,10801619,91918.37,25.92
Malaysia,MYS,1973,5245.301,11062664,101584.245,26
Malaysia,MYS,1974,5189.881,11335187,109385.703,25.6
Malaysia,MYS,1975,5222.444,11617947,111851.757,25.59
Malaysia,MYS,1976,5688.449,11910081,123838.235,25.41
Malaysia,MYS,1977,6485.843,12218924,133193.374,25.67
Malaysia,MYS,1978,8392.0625,12543892,141107.227,25.81
Malaysia,MYS,1979,9403.491,12875011,154006.765,25.9
Malaysia,MYS,1980,9580.384,13215707,167483.429,25.85
Malaysia,MYS,1981,9649.489,13564594,180059.31,25.97
Malaysia,MYS,1982,10068.274,13921029,188322.346,25.97
Malaysia,MYS,1983,11261.694,14292862,195591.009,26.3
Malaysia,MYS,1984,11811.673,14686454,208673.824,25.6
Malaysia,MYS,1985,11376.896,15108135,205565.925,25.79
Malaysia,MYS,1986,12125.577,15558740,211610.146,25.87
Malaysia,MYS,1987,12132.969,16033103,222910.891,26.24
Malaysia,MYS,1988,12381.6875,16524616,248173.774,26.08
Malaysia,MYS,1989,13454.194,17020143,269737.292,25.87
Malaysia,MYS,1990,13757.189,17517054,297756.392,26.24
Malaysia,MYS,1991,16754.078,18017464,323490.848,26.23
Malaysia,MYS,1992,18381.809,18526708,346281.63,26.13
Malaysia,MYS,1993,17979.701,19050077,381119.511,26.06
Malaysia,MYS,1994,18568.719,19588703,415600.051,26.14
Malaysia,MYS,1995,19762.299,20136888,454597.155,26.18
Malaysia,MYS,1996,21473.818,20689051,498239.701,26.1
Malaysia,MYS,1997,24257.473,21249178,533956.291,26.41
Malaysia,MYS,1998,22715.672,21810542,506098.288,26.79
Malaysia,MYS,1999,23668.324,22368655,526622,26.15
Malaysia,MYS,2000,26639.928,22945150,560285.341,26.29
Malaysia,MYS,2001,26582.326,23542517,567552.975,26.39
Malaysia,MYS,2002,27303.566,24142445,601651.662,26.57
Malaysia,MYS,2003,28867.148,24739411,644658.676,26.37
Malaysia,MYS,2004,30459.574,25333247,689190.045,26.32
Malaysia,MYS,2005,32213.139,25923536,725841.3,26.36
Malaysia,MYS,2006,31831.44,26509413,779772.006,26.27
Malaysia,MYS,2007,33221.484,27092604,826024.477,26.2
Malaysia,MYS,2008,33712.133,27664296,845705.943,26.02
Malaysia,MYS,2009,32003.473,28217204,851031.777,26.3
Malaysia,MYS,2010,32487.746,28717731,884216.877,26.46
Malaysia,MYS,2011,32524.594,29184133,932856.961,26.23
Malaysia,MYS,2012,35010.12,29660212,969270.593,26.41
Malaysia,MYS,2013,36062.55,30134807,1019210.369,26.51
Malaysia,MYS,2014,35862.223,30606459,1081263.192,26.42
Malaysia,MYS,2015,35874.363,31068833,1155866,26.65
Malaysia,MYS,2016,37184.793,31526418,1211301,26.94
Malaysia,MYS,2017,37168.01,31975806,1281719,26.5
Malaysia,MYS,2018,37333.42,32399271,1335058,26.54
Malaysia,MYS,2019,37824.06,32804020,1402096,26.82
Malaysia,MYS,2020,36037.035,33199993,1332466,26.7
Malaysia,MYS,2021,37131.54,33573874,1370015,26.48
Malaysia,MYS,2022,39226.555,33938221,1484034,26.35
Malaysia,MYS,2023,38920.656,34308525,1543076,26.77
