user,rating,review,date,sentiment
Afaq Malik,4,TikTok team please unfreeze my account @afaq--official33 please 🙏🥺,8/6/2025 15:59,Neutral
Ali Qadar,2,I give 2 stars because earnings are banned in Pakistan account and I am disappointed because I uploaded many videos but I can't earn from TikTok... I requested to TikTok developers to set earnings option on TikTok..thank you,8/6/2025 15:59,Negative
Comånder Sudîq,5,I can't leave it,8/6/2025 15:58,Neutral
Md Enamul,5,👍👍👍👍👍👍,8/6/2025 15:58,Neutral
Merna Mahrous,5,perfect,8/6/2025 15:58,Positive
Nicholas The Dragon,1,I would give it no stars if I could. I love this app but this rating is for the Tiktok Algorithm itself. Not only is it blatantly racist and only promotes FAR RIGHT RACIST PROPAGANDA...but also...it is notoriously unforgiving when you even say one thing in comments of videos. The one thing that the company running Tiktok can do is fix that and also stop suppressing racial discrimination in the United States. I also hate how you cannot be seen by the algorithm unless you do crazy payments for it.,8/6/2025 15:57,Negative
Mahbin Nusaira,1,Um I downloaded for do gacha life tiktok I like it very much!!!! omg,8/6/2025 15:57,Positive
Johanna Sekuba,4,fun,8/6/2025 15:57,Positive
Sharbat Khan,5,TikTok excellent 👍,8/6/2025 15:57,Positive
Debbie Bhest,3,"Well I guess that they are actually doing well,you can even send a voice note on the app",8/6/2025 15:57,Neutral
keshab nepal,3,good chha la,8/6/2025 15:57,Positive
Fuad Jiimma56,5,fuadjiimmaa,8/6/2025 15:57,Neutral
M asif,5,Masif,8/6/2025 15:56,Neutral
Mpoya Grace,5,It's very great when it comes to leisure,8/6/2025 15:56,Positive
md rasel,5,very interested app,8/6/2025 15:56,Positive
Julio David Sajmolo Roquel,1,"Tik tok te censura por cualquier comentario, horrible app. HORRIBLE NO PUEDES COMENTAR NADA QUE TE BLOQUEAN LA CUENTA!",8/6/2025 15:55,Negative
Ali Raza,5,your bast ap,8/6/2025 15:53,Neutral
M Talha,5,my photo swip option not working my app already up to date,8/6/2025 15:52,Neutral
Moataz Siam,5,TiK ToK is so so good,8/6/2025 15:51,Positive
Arshad Jaan,5,Asfgs,8/6/2025 15:50,Neutral
benson simukonde,5,Love the app,8/6/2025 15:49,Positive
Kim Dixon,4,Extremely fun and informative,8/6/2025 15:48,Positive
Hussein Ali,5,Wonderful,8/6/2025 15:48,Positive
MH EKRAM,5,tiktok is very good,8/6/2025 15:48,Positive
Olothando Dwesini,5,Good,8/6/2025 15:47,Positive
Samuel Namonda,5,Better picture,8/6/2025 15:47,Positive
Zahkar Mughal,1,ZakarAli,8/6/2025 15:47,Neutral
Elias Marvin,4,The app was great but now ìf you scroll your just gonna see nudes and brutal videos. The app was a really good and fun app now it's just like twitter.,8/6/2025 15:45,Positive
Muzamil Sandhu,5,all,8/6/2025 15:44,Neutral
Md Eomn,5,nice,8/6/2025 15:43,Positive
Katrina Slade,5,good,8/6/2025 15:41,Positive
Jennifer Walmsley,5,Tiktok is way more better than youtube because you can do other things on tiktok than Youtube!I reccomend downloading tiktok its not a 5 out of 5 its a 1B out of 1B GO DOWNLOAD IT RIGHT NOW,8/6/2025 15:41,Positive
Abdul Haruna,5,i like my TikTok,8/6/2025 15:41,Neutral
Muhammad Raheem,2,Hello dear tiktok team Very very important Please Ineed your help Dear tiktok Remove my account account warning 😔,8/6/2025 15:40,Positive
Jhon Alyza,5,good,8/6/2025 15:39,Positive
Chaudhry Sajjad,2,good app,8/6/2025 15:38,Positive
Ella P,5,I like it it has cool videos u can add friends and yeah I think its good. but I just want it to be a little more for kids but thats all.,8/6/2025 15:37,Positive
M Khuzaaf,5,Good,8/6/2025 15:37,Positive
Raja Khan,5,Shahdur Rahman,8/6/2025 15:36,Neutral
Ms Johorona,5,NAYEM,8/6/2025 15:34,Neutral
Damon,1,this app is getting worse every day. also in the last 2 days tiktok updated the app 5 times,8/6/2025 15:33,Negative
Pak Pakistan,5,Thanks for the update,8/6/2025 15:33,Positive
Ayobami Olawoyin,5,Good app,8/6/2025 15:30,Positive
Pleasure Ukwa,4,Good,8/6/2025 15:28,Positive
Hamdi Harago,5,𝐅𝐨𝐫 𝐰𝐚𝐭𝐜𝐡𝐢𝐧𝐠 𝐧𝐲 𝐭𝐡𝐢𝐧𝐠 𝐲𝐨𝐮 𝐰𝐚𝐧𝐭,8/6/2025 15:28,Neutral
Ali Raza Haral,3,My Account is not going viral,8/6/2025 15:27,Neutral
Gulam Akbar,5,ko Hi G,8/6/2025 15:26,Neutral
King Amjadjan,5,For you video _amjadjan,8/6/2025 15:26,Neutral
Mariam Altaf,3,it's been hanging for the last two weeks,8/6/2025 15:25,Neutral
Nana Buthelezi,5,I like tiktok,8/6/2025 15:23,Neutral
Dipak Khatri,5,op paps nice,8/6/2025 15:23,Positive
Oarabile Morodi,4,It's nice like very nice and smooth but when I enter the app it GLITCHES,8/6/2025 15:22,Positive
Haji Arif,5,Good,8/6/2025 15:22,Positive
